"Table with row headers in column A, and column headers in rows 5 through 6.",,,,,,,,,
STATE,Age,Total population,Total citizen population,Total registered,"Percent registered
(Total)","Percent registered
(Citizen)",Total voted,"Percent voted
(Total)","Percent voted
(Citizen)"
US,Total,"252,274","231,593","168,308",66.7,72.7,"154,628",61.3,66.8
US,18 to 24,"28,659","26,737","15,984",55.8,59.8,"13,752",48.0,51.4
US,25 to 34,"44,871","39,962","27,351",61.0,68.4,"24,091",53.7,60.3
US,35 to 44,"41,558","35,977","25,852",62.2,71.9,"23,421",56.4,65.1
US,45 to 64,"81,912","75,590","57,226",69.9,75.7,"53,646",65.5,71.0
US,65+,"55,273","53,326","41,895",75.8,78.6,"39,718",71.9,74.5
ALABAMA,Total,"3,769","3,716","2,527",67.0,68.0,"2,247",59.6,60.5
ALABAMA,18 to 24,431,427,218,50.6,51.1,194,44.9,45.4
ALABAMA,25 to 34,599,587,376,62.8,64.2,315,52.6,53.7
ALABAMA,35 to 44,626,608,415,66.3,68.2,365,58.3,60.0
ALABAMA,45 to 64,"1,261","1,246",900,71.4,72.2,824,65.4,66.2
ALABAMA,65+,852,848,618,72.5,72.9,549,64.5,64.8
ALASKA,Total,528,516,383,72.6,74.2,330,62.4,63.8
ALASKA,18 to 24,60,59,38,B,B,29,B,B
ALASKA,25 to 34,97,94,59,60.7,63.1,41,41.9,43.6
ALASKA,35 to 44,102,99,74,72.5,75.1,62,60.5,62.6
ALASKA,45 to 64,177,174,141,79.8,80.9,131,73.9,75.0
ALASKA,65+,92,91,71,77.0,77.7,67,73.0,73.6
ARIZONA,Total,"5,638","5,075","3,878",68.8,76.4,"3,649",64.7,71.9
ARIZONA,18 to 24,653,629,371,56.7,59.0,327,50.1,52.0
ARIZONA,25 to 34,941,850,619,65.8,72.9,579,61.6,68.2
ARIZONA,35 to 44,929,756,565,60.8,74.6,509,54.8,67.3
ARIZONA,45 to 64,"1,833","1,627","1,301",70.9,79.9,"1,242",67.8,76.4
ARIZONA,65+,"1,282","1,213","1,023",79.8,84.4,992,77.4,81.8
ARKANSAS,Total,"2,283","2,195","1,361",59.6,62.0,"1,186",51.9,54.0
ARKANSAS,18 to 24,263,261,127,48.3,48.7,84,32.1,32.3
ARKANSAS,25 to 34,420,389,217,51.7,55.8,176,41.8,45.1
ARKANSAS,35 to 44,341,319,201,58.8,63.0,179,52.6,56.3
ARKANSAS,45 to 64,706,680,446,63.2,65.7,401,56.8,59.0
ARKANSAS,65+,553,547,370,66.9,67.7,346,62.5,63.2
CALIFORNIA,Total,"30,342","25,946","18,001",59.3,69.4,"16,893",55.7,65.1
CALIFORNIA,18 to 24,"3,685","3,334","1,974",53.6,59.2,"1,786",48.5,53.6
CALIFORNIA,25 to 34,"5,953","4,957","3,261",54.8,65.8,"2,976",50.0,60.0
CALIFORNIA,35 to 44,"5,090","4,016","2,759",54.2,68.7,"2,554",50.2,63.6
CALIFORNIA,45 to 64,"9,499","7,973","5,820",61.3,73.0,"5,534",58.3,69.4
CALIFORNIA,65+,"6,117","5,666","4,187",68.4,73.9,"4,044",66.1,71.4
COLORADO,Total,"4,525","4,200","2,993",66.2,71.3,"2,837",62.7,67.6
COLORADO,18 to 24,528,481,293,55.6,60.9,257,48.6,53.3
COLORADO,25 to 34,996,942,653,65.6,69.3,608,61.1,64.6
COLORADO,35 to 44,717,629,442,61.7,70.3,420,58.5,66.7
COLORADO,45 to 64,"1,432","1,302",956,66.8,73.4,922,64.4,70.8
